# TSV file of geolocation rules with the format:
# '<raw_geolocation><tab><annotated_geolocation>' where the raw and annotated geolocations
# are formatted as '<region>/<country>/<division>/<location>'
# If creating a general rule, then the raw field value can be substituted with '*'
# Lines starting with '#' will be ignored as comments.
# Trailing '#' will be ignored as comments.

# Annotate specific regions to match FREQUENCY_REGIONS
# <https://github.com/nextstrain/seasonal-flu/blob/f073d3e055ab6efaae6d4c91a06efa621b6247d9/profiles/private.nextflu.org/export.smk#L1>
# Countries copied from nextstrain/fauna/source-data/geo_regions.tsv
# <https://github.com/nextstrain/fauna/blob/42991d3f8e3074e3544cca6b5fa77f1006f220d1/source-data/geo_regions.tsv>

# China region
*/China/*/*	China/China/*/*
*/Hong Kong/*/*	China/Hong Kong/*/*
*/Macao/*/*	China/China/Macau/*
*/Macau/*/*	China/China/Macau/*
*/Taiwan/*/*	China/Taiwan/*/*
*/Tibet/*/*	China/Tibet/*/*

# South Asia region
*/Bangladesh/*/*	South Asia/Bangladesh/*/*
*/Bhutan/*/*	South Asia/Bhutan/*/*
*/India/*/*	South Asia/India/*/*
*/Maldives/*/*	South Asia/Maldives/*/*
*/Nepal/*/*	South Asia/Nepal/*/*
*/Sri Lanka/*/*	South Asia/Sri Lanka/*/*

# Japan Korea region
*/Chiba/*/*	Japan Korea/Japan/Chiba/*
*/Japan/*/*	Japan Korea/Japan/*/*
*/Niigata/*/*	Japan Korea/Japan/Niigata/*
*/South Korea/*/*	Japan Korea/South Korea/*/*
*/Korea/*/*	Japan Korea/South Korea/*/*
*/Yokohama/*/*	Japan Korea/Japan/Yokohama/*
*/Korea, Democratic People's Republic of/*/*	Japan Korea/North Korea/*/*
Asia/Kawasaki/*/*	Japan Korea/Japan/Kanagawa/Kawasaki


# Southeast Asia region
*/Brunei/*/*	Southeast Asia/Brunei/*/*
*/Cambodia/*/*	Southeast Asia/Cambodia/*/*
*/East Timor/*/*	Southeast Asia/East Timor/*/*
*/Indonesia/*/*	Southeast Asia/Indonesia/*/*
*/Laos/*/*	Southeast Asia/Laos/*/*
*/Malaysia/*/*	Southeast Asia/Malaysia/*/*
*/Myanmar/*/*	Southeast Asia/Myanmar/*/*
*/Philippines/*/*	Southeast Asia/Philippines/*/*
*/Singapore/*/*	Southeast Asia/Singapore/*/*
*/Thailand/*/*	Southeast Asia/Thailand/*/*
*/Vietnam/*/*	Southeast Asia/Vietnam/*/*

# West Asia region
*/Afghanistan/*/*	West Asia/Afghanistan/*/*
*/Armenia/*/*	West Asia/Armenia/*/*
*/Azerbaijan/*/*	West Asia/Azerbaijan/*/*
*/Bahrain/*/*	West Asia/Bahrain/*/*
*/Cyprus/*/*	West Asia/Cyprus/*/*
*/Georgia/*/*	West Asia/Georgia Country/*/*
*/Georgia Country/*/*	West Asia/Georgia Country/*/*
*/Iran/*/*	West Asia/Iran/*/*
*/Iraq/*/*	West Asia/Iraq/*/*
*/Israel/*/*	West Asia/Israel/*/*
*/Jordan/*/*	West Asia/Jordan/*/*
*/Kuwait/*/*	West Asia/Kuwait/*/*
*/Lebanon/*/*	West Asia/Lebanon/*/*
*/Oman/*/*	West Asia/Oman/*/*
*/Pakistan/*/*	West Asia/Pakistan/*/*
*/Palestine/*/*	West Asia/Palestine/*/*
*/Palestinian Territory/*/*	West Asia/Palestine/*/*
*/Qatar/*/*	West Asia/Qatar/*/*
*/Saudi Arabia/*/*	West Asia/Saudi Arabia/*/*
*/Syria/*/*	West Asia/Syria/*/*
*/Turkey/*/*	West Asia/Turkey/*/*
*/Turkmenistan/*/*	West Asia/Turkmenistan/*/*
*/Russia/*/*	West Asia/Russia/*/*
*/Mongolia/*/*	West Asia/Mongolia/*/*
*/Kyrgyzstan/*/*	West Asia/Kyrgyzstan/*/*
*/Kazakhstan/*/*	West Asia/Kazakhstan/*/*
*/Tajikistan/*/*	West Asia/Tajikistan/*/*
*/United Arab Emirates/*/*	West Asia/United Arab Emirates/*/*
*/Uzbekistan/*/*	West Asia/Uzbekistan/*/*
*/Yemen/*/*	West Asia/Yemen/*/*

Asia/Daegu/*/*	Japan Korean/South Korea/Daegu/*
Asia/Gwangju/*/*	Japan Korea/South Korea/Gwangju/*
Asia/Hong Kong (Sar)/*/*	China/Hong Kong/*/*
Asia/Iran, Islamic Republic of/*/*	West Asia/Iran/*/*
Asia/Korea, Republic of/*/*	Japan Korea/South Korea/*/*
Asia/Lao, People'S Democratic Republic/*/*	Southeast Asia/Laos/*/*
Australia/Cocos (Keeling) Islands/Home Islan/*	Oceania/Australia/Cocos (Keeling) Islands/Home Island
Europe/Russian Federation/*/*	West Asia/Russia/*/*
Sudan, South/*/*/*	Africa/South Sudan/*/*
/La Reunion/*/*	Africa/Réunion/*/*
/Kosova/*/*	Europe/Kosovo/*/*

# General rules that should be migrated to the central geolocation rules in Augur
*/Russia/Novoaydar/*	Europe/Ukraine/Luhansk/Novoaydar
*/Russia/Republic of Crimea/*	Europe/Ukraine/Crimea/*
*/China/Hong Kong/*	*/Hong Kong/Hong Kong/*
*/Congo, the Democatic Republic of/*/*	*/Democatic Republic of the Congo/*/*
*/Macedonia, the Former Yogoslav Republic of/*/*	*/Macedonia/*/*
*/Micronesia, Federated States of/*/*	*/Micronesia/*/*
*/Moldova, Republic of/*/*	*/Moldova/*/*
*/Saint Kitts and Nevis, Federation of/*/*	*/Saint Kitts and Nevis/*/*
*/Syrian Arab Republic/*/*	*/Syria/*/*
*/Tanzania, United Republic of/*/*	*/Tanzania/*/*
*/Timor-Leste/*/*	*/East Timor/*/*
*/Venezuela, Bolivarian Republic of/*/*	*/Venezuela/*/*
Asia/Nonthaburi/*/*	Asia/Thailand/Nonthaburi/*
Europe/France/Mayotte/*	Africa/Mayotte/Mayotte/*
Europe/Netherlands/Bonaire/*	South America/Bonaire/Bonaire/*
South America/Brazil/Estado do Acre/*	South America/Brazil/Acre/*
*/Japan/Kawasaki/*	*/Japan/Kanagawa/Kawasaki

Europe/Spain/Pontevedra/	Europe/Spain/Galicia/Pontevedra
Europe/Spain/Pontevedra/Galicia	Europe/Spain/Galicia/Pontevedra

# Fix casing changes introduced by `augur curate titlecase`
*/*/*/Maricopa County Az	*/*/*/Maricopa County AZ
